product_id,date,store_id,current_stock,daily_demand,lead_time_days,supplier_reliability_score,promotion_active,weather_impact,stockout_risk
P1000,1/1/2024,S7,213,114,5,72,No,Medium,No
P1001,1/2/2024,S20,152,87,7,84,No,High,Yes
P1002,1/3/2024,S15,209,62,10,61,No,Low,No
P1003,1/4/2024,S11,400,103,10,61,No,Low,No
P1004,1/5/2024,S8,60,114,9,75,No,Medium,No
P1005,1/6/2024,S7,267,108,13,68,No,Medium,No
P1006,1/7/2024,S19,261,60,7,87,No,Medium,No
P1007,1/8/2024,S11,217,32,5,72,No,Low,Yes
P1008,1/9/2024,S11,282,5,10,94,No,Medium,No
P1009,1/10/2024,S4,135,46,10,72,Yes,High,No
P1010,1/11/2024,S8,466,86,10,90,No,Low,Yes
P1011,1/12/2024,S3,379,52,6,80,No,Medium,No
P1012,1/13/2024,S2,361,44,11,91,No,High,Yes
P1013,1/14/2024,S12,448,101,12,93,Yes,High,No
P1014,1/15/2024,S6,440,67,3,67,No,Medium,Yes
P1015,1/16/2024,S2,92,80,5,61,No,High,No
P1016,1/17/2024,S1,108,76,8,97,No,Low,No
P1017,1/18/2024,S12,240,92,1,91,No,Low,No
P1018,1/19/2024,S12,354,84,12,99,No,High,No
P1019,1/20/2024,S17,423,118,1,87,No,Low,No
P1020,1/21/2024,S10,141,8,7,96,No,Medium,No
P1021,1/22/2024,S16,290,42,14,60,No,High,No
P1022,1/23/2024,S15,431,112,5,69,Yes,Low,No
P1023,1/24/2024,S15,236,31,14,63,Yes,Medium,Yes
P1024,1/25/2024,S19,339,13,5,94,No,Medium,No
P1025,1/26/2024,S12,311,115,1,69,No,Low,No
P1026,1/27/2024,S20,176,20,9,70,No,High,No
P1027,1/28/2024,S3,140,60,1,73,Yes,Medium,Yes
P1028,1/29/2024,S5,188,80,5,97,No,Medium,No
P1029,1/30/2024,S19,485,35,10,71,No,Medium,Yes
P1030,1/31/2024,S7,48,92,9,76,Yes,Medium,No
P1031,2/1/2024,S9,301,18,14,75,No,High,No
P1032,2/2/2024,S7,368,113,4,94,No,Low,No
P1033,2/3/2024,S18,189,29,13,61,No,Low,No
P1034,2/4/2024,S4,135,38,8,70,Yes,Low,No
P1035,2/5/2024,S14,42,71,6,62,No,Medium,Yes
P1036,2/6/2024,S18,403,28,11,88,Yes,High,Yes
P1037,2/7/2024,S9,379,110,3,77,Yes,Low,No
P1038,2/8/2024,S2,352,77,4,79,Yes,High,No
P1039,2/9/2024,S20,89,30,2,73,No,Low,No
P1040,2/10/2024,S15,294,24,1,93,Yes,Medium,No
P1041,2/11/2024,S7,340,68,13,90,No,Low,No
P1042,2/12/2024,S12,244,108,14,99,Yes,Medium,No
P1043,2/13/2024,S8,432,14,8,77,Yes,Medium,No
P1044,2/14/2024,S15,191,87,1,89,No,Low,No
P1045,2/15/2024,S3,317,71,14,84,Yes,High,No
